Photo,Replicate,x,y,z,width
IMG_9124.JPG,8,1.521,17.05,75.53,17.05
IMG_9124.JPG,9,1.686,18.889,68.499,18.889
IMG_9124.JPG,10,1.686,18.912,9.728,18.912
IMG_9124.JPG,11,0.693,7.763,-84.094,7.763
IMG_9124.JPG,12,2.135,23.979,29.982,23.979
IMG_9124.JPG,13,3.821,42.937,-66.615,42.937
IMG_9124.JPG,14,2.119,23.817,-10.305,23.817
IMG_9124.JPG,15,2.411,27.033,26.313,27.033
IMG_9124.JPG,16,3.136,35.202,72.387,35.202
IMG_9124.JPG,17,1.67,18.727,60.154,18.727
IMG_9124.JPG,18,1.993,22.382,92.045,22.382
IMG_9124.JPG,19,3.041,34.188,71.847,34.188
IMG_9124.JPG,20,1.324,14.79,-113.334,14.79
IMG_9124.JPG,21,3.254,36.559,47.361,36.559
IMG_9125.JPG,1,3.249,37.077,29.644,37.077
IMG_9125.JPG,2,3.165,36.129,-31.961,36.129
IMG_9125.JPG,3,3.973,45.432,3.968,45.432
IMG_9125.JPG,4,3.805,43.45,131.088,43.45
IMG_9125.JPG,5,3.333,38.053,20.556,38.053
IMG_9125.JPG,6,2.761,31.512,-47.021,31.512
IMG_9125.JPG,7,1.754,20.038,101.31,20.038
IMG_9125.JPG,8,2.425,27.659,95.981,27.659
IMG_9125.JPG,9,3.63,41.457,110.726,41.457
IMG_9125.JPG,10,4.881,55.786,43.287,55.786
IMG_9125.JPG,11,2.845,32.486,0,32.486
IMG_9125.JPG,12,2.273,25.942,-33.048,25.942
IMG_9125.JPG,13,1.121,12.719,-122.381,12.719
IMG_9125.JPG,14,2.989,34.135,72.121,34.135
IMG_9125.JPG,15,1.884,21.44,51.45,21.44
IMG_9125.JPG,16,1.51,17.229,8.746,17.229
IMG_9125.JPG,17,1.891,21.569,-40.073,21.569
IMG_9125.JPG,18,1.38,15.702,64.29,15.702
IMG_9125.JPG,19,2.105,24.047,-7.512,24.047
IMG_9125.JPG,20,2.501,28.585,17.605,28.585
IMG_9125.JPG,21,2.212,25.255,53.011,25.255
IMG_9125.JPG,22,3.729,42.655,64.537,42.655
IMG_9125.JPG,23,1.701,19.387,0,19.387
IMG_9125.JPG,1,4.979,52.643,-11.793,52.643
IMG_9126.JPG,2,3.741,39.515,-16.227,39.515
IMG_9126.JPG,3,4.276,45.243,50.332,45.243
IMG_9126.JPG,4,5.068,53.574,-25.346,53.574
IMG_9126.JPG,5,2.04,21.498,49.808,21.498
IMG_9126.JPG,6,3.278,34.652,112.584,34.652
IMG_9126.JPG,7,1.461,15.418,-97.386,15.418
IMG_9126.JPG,8,1.505,15.869,-105.524,15.869
IMG_9126.JPG,9,3.144,33.219,18.898,33.219
IMG_9126.JPG,10,1.719,18.161,30.964,18.161
IMG_9126.JPG,11,1.63,17.141,59.199,17.141
IMG_9126.JPG,12,2.093,22.092,88.531,22.092
IMG_9126.JPG,13,2.343,24.736,105.945,24.736
IMG_9126.JPG,14,4.044,42.754,0,42.754
IMG_9126.JPG,15,1.55,16.334,-33.69,16.334
IMG_9126.JPG,16,3.875,40.93,19.814,40.93
IMG_9126.JPG,17,3.732,39.488,-51.404,39.488
IMG_9126.JPG,18,2.12,22.413,93.621,22.413
IMG_9126.JPG,19,1.354,14.284,140.631,14.284
IMG_9126.JPG,20,1.888,19.881,54.273,19.881
IMG_9126.JPG,21,2.797,29.584,50.826,29.584
IMG_9126.JPG,22,0.882,9.218,-79.38,9.218
IMG_9126.JPG,23,1.746,18.372,-114.59,18.372
IMG_9126.JPG,24,1.746,18.372,65.41,18.372
IMG_9126.JPG,25,2.672,28.26,65.746,28.26
